Count,Participant,Condition,Week,LanguageDescrip,EngCode,WordID,Tag,Stim,Word,Spanish,CNC,IMG,FAM,EngFreq,SpanFreq,EngFreqLog10,SpanFreqLog10,EngLength,SpanLength,Color,Sound,Morality,Valence,Size,Position
71,Eng_01,Monolingual,1,English,0,71,t1,tongue,tongue.t1,lengua,634,621,531,31.16,39.87980769,2.493597449,2.600753055,6,6,3,4,1,4,1,4
72,Eng_01,Monolingual,1,English,0,72,t1,tool,tool.t1,herramienta,570,538,532,10.75,5.889423077,2.031408464,1.770072754,4,11,7,3,5,1,2,4
73,Eng_01,Monolingual,1,English,0,73,t1,tree,tree.t1,_rbol,604,622,613,65,52.54807692,2.812913357,2.720556827,4,5,7,4,5,4,6,2
74,Eng_01,Monolingual,1,English,0,74,t1,truck,truck.t1,cami†n,595,621,620,72.86,62.93269231,2.862489167,2.798876312,5,6,7,4,1,2,7,1
75,Eng_01,Monolingual,1,English,0,75,t1,water,water.t1,agua,616,632,641,225.06,249.9278846,3.352298315,3.397814713,5,4,7,4,7,4,7,6
76,Eng_01,Monolingual,1,English,0,76,t1,winter,winter.t1,invierno,499,621,615,26.22,23.96634615,2.418632687,2.379601828,6,8,7,3,7,5,1,4
77,Eng_01,Monolingual,1,English,0,77,t1,wisdom,wisdom.t1,sabidura,275,381,510,11.08,11.94,2.04453976,2.077004327,6,9,2,3,6,5,7,7
78,Eng_01,Monolingual,1,English,0,78,t1,wolf,wolf.t1,lobo,595,610,537,20.27,23.89423077,2.306853749,2.378293054,4,4,7,4,2,1,3,2
79,Eng_01,Monolingual,1,English,0,79,t1,woman,woman.t1,mujer,580,626,623,434.63,526.2740385,3.6381197,3.721211946,5,5,1,3,6,7,3,7
80,Eng_01,Monolingual,1,English,0,80,t1,wood,wood.t1,madera,606,577,574,27,27.30769231,2.431363764,2.436285001,4,6,7,4,2,3,4,1
81,Eng_01,Monolingual,2,English,0,1,t2,advantage,advantage.t2,ventaja,282,292,562,22.06,28.10096154,2.343605508,2.448721181,9,7,1,1,4,4,7,1
82,Eng_01,Monolingual,2,English,0,2,t2,advice,advice.t2,consejo,291,352,566,47.98,77.23557692,2.681060244,2.887817395,6,7,1,1,2,2,3,1
83,Eng_01,Monolingual,2,English,0,3,t2,appointment,appointment.t2,cita,341,386,541,30.57,149.1346154,2.485295439,3.173578459,11,4,1,1,5,4,1,2
84,Eng_01,Monolingual,2,English,0,4,t2,arrangement,arrangement.t2,arreglo,308,316,525,9.45,20,1.975431809,2.301029996,11,7,1,1,4,1,2,4
85,Eng_01,Monolingual,2,English,0,5,t2,beauty,beauty.t2,belleza,336,513,561,48.24,43.46153846,2.683407299,2.638105095,6,7,7,1,6,7,6,4
86,Eng_01,Monolingual,2,English,0,6,t2,bed,bed.t2,cama,635,635,636,187.12,178.1730769,3.272120209,3.25084208,3,4,3,1,2,2,4,4
87,Eng_01,Monolingual,2,English,0,7,t2,behavior,behavior.t2,comportamiento,295,351,573,22.39,24.78365385,2.350054094,2.394165335,8,14,2,1,7,7,3,5
88,Eng_01,Monolingual,2,English,0,8,t2,bird,bird.t2,p_jaro,602,614,592,45.45,23.125,2.657533888,2.364081741,4,6,6,6,2,1,3,5
89,Eng_01,Monolingual,2,English,0,9,t2,blood,blood.t2,sangre,613,620,571,186.12,230.4807692,3.269793044,3.362634695,5,6,7,1,5,7,4,1
90,Eng_01,Monolingual,2,English,0,10,t2,boat,boat.t2,barco,637,631,584,95.78,84.97596154,2.981274833,2.929296088,4,5,4,4,3,4,3,6
91,Eng_01,Monolingual,2,English,0,11,t2,body,body.t2,cuerpo,568,614,610,195.53,217.6682692,3.2912134,3.337795124,4,6,1,2,7,6,4,1
92,Eng_01,Monolingual,2,English,0,12,t2,bracelet,bracelet.t2,pulsera,602,606,547,7.8,3.894230769,1.892094603,1.590421684,8,7,2,2,2,3,1,1
93,Eng_01,Monolingual,2,English,0,13,t2,brain,brain.t2,cerebro,556,572,580,77.02,92.76442308,2.886603514,2.967381448,5,7,7,1,5,5,7,6
94,Eng_01,Monolingual,2,English,0,14,t2,bridge,bridge.t2,puente,623,608,561,45.71,40.33653846,2.660011221,2.605698626,6,6,7,1,4,1,6,6
95,Eng_01,Monolingual,2,English,0,15,t2,butterfly,butterfly.t2,mariposa,593,624,481,5.51,6.706730769,1.741151599,1.826510873,9,8,6,1,1,3,4,6
96,Eng_01,Monolingual,2,English,0,16,t2,ceiling,ceiling.t2,techo,606,557,531,8.35,41.44230769,1.921686475,2.617443931,7,5,4,1,4,3,4,6
97,Eng_01,Monolingual,2,English,0,17,t2,chair,chair.t2,silla,606,610,617,49.24,55.45673077,2.692318044,2.743954264,5,5,7,2,1,1,3,6
98,Eng_01,Monolingual,2,English,0,18,t2,chicken,chicken.t2,pollo,614,619,544,61.73,47.28365385,2.790496277,2.674711029,7,5,1,4,3,3,2,2
99,Eng_01,Monolingual,2,English,0,19,t2,christmas,christmas.t2,Navidad,432,629,611,122.43,120.3365385,3.087887849,3.080397515,9,7,7,2,7,6,5,2
100,Eng_01,Monolingual,2,English,0,20,t2,church,church.t2,iglesia,587,616,560,69.67,82.93269231,2.843045811,2.918725764,6,7,7,4,5,6,7,4
101,Eng_01,Monolingual,2,English,0,21,t2,city,city.t2,ciudad,554,605,616,169.1,263.9423077,3.228143608,3.421509009,4,6,7,7,3,5,7,4
102,Eng_01,Monolingual,2,English,0,22,t2,clothes,clothes.t2,ropa,600,629,652,101.14,166.7307692,3.004922949,3.222015754,7,4,5,1,5,3,3,2
103,Eng_01,Monolingual,2,English,0,23,t2,contempt,contempt.t2,desprecio,182,,,5.02,5.072115385,1.700703717,1.705189125,8,9,1,1,4,4,1,1
104,Eng_01,Monolingual,2,English,0,24,t2,cow,cow.t2,vaca,621,632,529,25.51,19.49519231,2.406710459,2.289927524,3,4,6,6,1,2,7,2
105,Eng_01,Monolingual,2,English,0,25,t2,danger,danger.t2,peligro,338,505,557,43.67,83.79807692,2.640183192,2.923234052,6,7,7,7,7,7,5,6
106,Eng_01,Monolingual,2,English,0,26,t2,darkness,darkness.t2,oscuridad,419,622,578,17.49,40.33653846,2.242789809,2.605698626,8,9,7,1,5,7,4,5
107,Eng_01,Monolingual,2,English,0,27,t2,debt,debt.t2,deuda,416,384,494,14.22,23.07692308,2.152899596,2.363177902,4,5,1,1,4,7,7,4
108,Eng_01,Monolingual,2,English,0,28,t2,desk,desk.t2,escritorio,583,574,583,43.9,32.04326923,2.64246452,2.505736819,4,10,4,1,3,2,3,4
109,Eng_01,Monolingual,2,English,0,29,t2,door,door.t2,puerta,606,599,630,292.06,328.8701923,3.465472081,3.517024512,4,6,3,7,2,4,5,3
110,Eng_01,Monolingual,2,English,0,30,t2,drum,drum.t2,tambor,602,599,506,8.47,4.663461538,1.92788341,1.668708399,4,6,6,7,1,2,1,2
111,Eng_01,Monolingual,2,English,0,31,t2,duty,duty.t2,deber,322,346,543,50.96,28.96634615,2.707229419,2.461893716,4,5,1,2,3,6,6,2
112,Eng_01,Monolingual,2,English,0,32,t2,effort,effort.t2,esfuerzo,296,367,585,19.35,31.5625,2.286680969,2.499171395,6,8,1,1,4,7,7,7
113,Eng_01,Monolingual,2,English,0,33,t2,faith,faith.t2,fe,270,,,46.33,61.10576923,2.6658623,2.786082216,5,2,1,2,4,3,3,5
114,Eng_01,Monolingual,2,English,0,34,t2,fog,fog.t2,niebla,556,606,546,9.45,6.057692308,1.975431809,1.78230721,3,6,5,2,2,1,2,3
115,Eng_01,Monolingual,2,English,0,35,t2,food,food.t2,comida,597,539,579,154.43,207.7644231,3.188731671,3.317571182,4,6,7,1,5,7,4,2
116,Eng_01,Monolingual,2,English,0,36,t2,forest,forest.t2,bosque,609,633,513,18.88,54.18269231,2.27600199,2.733860581,6,6,7,4,1,1,7,4
117,Eng_01,Monolingual,2,English,0,37,t2,freedom,freedom.t2,libertad,277,437,568,33.1,87.8125,2.519827994,2.943556342,7,8,1,1,7,5,6,2
118,Eng_01,Monolingual,2,English,0,38,t2,friendship,friendship.t2,amistad,335,535,567,22.82,33.22115385,2.35831564,2.521414712,10,7,1,2,5,7,4,2
119,Eng_01,Monolingual,2,English,0,39,t2,frog,frog.t2,respuesta,619,617,507,11.82,7.211538462,2.072617477,1.858027924,4,4,6,1,1,3,3,5
120,Eng_01,Monolingual,2,English,0,40,t2,horse,horse.t2,caballo,613,624,560,92.88,62.16346154,2.967922207,2.79353519,5,7,7,4,1,5,4,6
121,Eng_01,Monolingual,2,English,0,41,t2,kindness,kindness.t2,amabilidad,261,438,560,9.02,7.163461538,1.955206538,1.855122933,8,10,1,2,5,7,6,2
122,Eng_01,Monolingual,2,English,0,42,t2,knife,knife.t2,cuchillo,612,633,573,46.8,41.53846154,2.670245853,2.618450408,5,8,4,2,2,4,4,2
123,Eng_01,Monolingual,2,English,0,43,t2,knowledge,knowledge.t2,conocimiento,278,348,575,25.53,28.77403846,2.407050815,2.45900082,9,12,1,7,5,7,7,4
124,Eng_01,Monolingual,2,English,0,44,t2,lake,lake.t2,lago,585,616,583,36,36.27403846,2.556302501,2.559595909,4,4,7,4,2,2,4,4
125,Eng_01,Monolingual,2,English,0,45,t2,lane,lane.t2,carril,537,543,525,33.41,3.822115385,2.523876476,1.582303794,4,6,4,2,2,1,6,6
126,Eng_01,Monolingual,2,English,0,46,t2,liar,liar.t2,mentiroso,409,425,534,35.14,33.62980769,2.545801757,2.526724384,4,9,1,1,5,5,1,2
127,Eng_01,Monolingual,2,English,0,47,t2,mattress,mattress.t2,colch†n,640,601,524,6.61,6.923076923,1.820201459,1.840299157,8,7,7,1,2,1,5,1
128,Eng_01,Monolingual,2,English,0,48,t2,mercy,mercy.t2,misericordia,239,373,460,25.31,7.524038462,2.403292145,1.876451007,5,12,2,1,4,4,2,2
129,Eng_01,Monolingual,2,English,0,49,t2,message,message.t2,mensaje,459,438,557,91.51,137.3076923,2.961468555,3.137694868,7,7,1,4,5,3,4,1
130,Eng_01,Monolingual,2,English,0,50,t2,month,month.t2,mes,345,448,598,95.18,104.2307692,2.9785457,3.017995943,5,3,1,2,1,5,7,7
131,Eng_01,Monolingual,2,English,0,51,t2,neighborhood,neighborhood.t2,barrio,429,456,507,36.69,37.62019231,2.564547712,2.575421011,12,6,3,6,4,3,7,4
132,Eng_01,Monolingual,2,English,0,52,t2,oven,oven.t2,horno,593,599,577,8.88,13.96634615,1.948412966,2.145082802,4,5,4,4,1,1,1,1
133,Eng_01,Monolingual,2,English,0,53,t2,pig,pig.t2,cerdo,614,635,509,39.14,40.02403846,2.592620821,2.602320907,3,5,7,1,2,4,6,2
134,Eng_01,Monolingual,2,English,0,54,t2,pillow,pillow.t2,almohada,613,624,602,11.39,11.82692308,2.056523724,2.072871772,6,8,1,1,2,1,2,3
135,Eng_01,Monolingual,2,English,0,55,t2,pool,pool.t2,piscina,573,577,541,46.98,34.75961538,2.671913012,2.541074962,4,7,7,4,1,2,7,4
136,Eng_01,Monolingual,2,English,0,56,t2,punishment,punishment.t2,castigo,358,418,515,13.43,23.79807692,2.128076013,2.376541864,10,7,1,1,7,7,2,1
137,Eng_01,Monolingual,2,English,0,57,t2,puppy,puppy.t2,cachorro,623,635,522,11.45,6.63,2.058805487,1.821513528,5,8,7,5,2,4,5,2
138,Eng_01,Monolingual,2,English,0,58,t2,quality,quality.t2,calidad,274,349,560,18.57,18.75,2.268811904,2.273001272,7,7,1,1,7,6,5,2
139,Eng_01,Monolingual,2,English,0,59,t2,rabbit,rabbit.t2,conejo,635,611,523,20.94,22.13942308,2.320976677,2.3451663,6,6,6,2,1,1,6,2
140,Eng_01,Monolingual,2,English,0,60,t2,relief,relief.t2,alivio,303,432,551,14.59,14.42307692,2.164055292,2.15905792,6,6,2,1,5,6,3,2
141,Eng_01,Monolingual,2,English,0,61,t2,response,response.t2,ro,300,348,544,16.1,111.6346154,2.206825876,3.04779888,8,9,1,4,5,5,2,2
142,Eng_01,Monolingual,2,English,0,62,t2,river,river.t2,rana,585,633,565,55.47,61.54,2.744058166,2.789157492,5,3,7,6,1,3,3,7
143,Eng_01,Monolingual,2,English,0,63,t2,shark,shark.t2,tibur†n,611,602,516,14.98,13.87019231,2.175511813,2.142082483,5,7,5,1,2,4,7,6
144,Eng_01,Monolingual,2,English,0,64,t2,shrimp,shrimp.t2,camar†n,629,618,546,8.71,3.149038462,1.940018155,1.498177965,6,7,7,1,1,2,7,2
145,Eng_01,Monolingual,2,English,0,65,t2,sister,sister.t2,hermana,575,613,588,180.53,215.2884615,3.256549382,3.333020754,6,7,1,3,5,7,2,2
146,Eng_01,Monolingual,2,English,0,66,t2,sky,sky.t2,cielo,542,618,607,44.8,144.9278846,2.651278014,3.161151953,3,5,7,2,5,6,4,5
147,Eng_01,Monolingual,2,English,0,67,t2,soul,soul.t2,alma,289,366,544,76.96,81.20192308,2.886265059,2.909566315,4,4,4,2,4,5,2,1
148,Eng_01,Monolingual,2,English,0,68,t2,street,street.t2,calle,579,577,602,148.18,155.3365385,3.17078959,3.191273623,6,5,7,6,4,2,6,4
149,Eng_01,Monolingual,2,English,0,69,t2,tax,tax.t2,impuesto,445,446,523,14.55,4.615384615,2.162862993,1.664207898,3,8,2,1,5,5,3,3
150,Eng_01,Monolingual,2,English,0,70,t2,thief,thief.t2,ladr†n,519,529,529,24.27,28.38942308,2.385069776,2.453156567,5,6,4,1,5,4,1,1
151,Eng_01,Monolingual,2,English,0,71,t2,tongue,tongue.t2,lengua,634,621,531,31.16,39.87980769,2.493597449,2.600753055,6,6,7,3,1,3,1,2
152,Eng_01,Monolingual,2,English,0,72,t2,tool,tool.t2,herramienta,570,538,532,10.75,5.889423077,2.031408464,1.770072754,4,11,6,1,3,3,3,4
153,Eng_01,Monolingual,2,English,0,73,t2,tree,tree.t2,_rbol,604,622,613,65,52.54807692,2.812913357,2.720556827,4,5,7,1,1,3,4,6
154,Eng_01,Monolingual,2,English,0,74,t2,truck,truck.t2,cami†n,595,621,620,72.86,62.93269231,2.862489167,2.798876312,5,6,7,7,2,4,7,6
155,Eng_01,Monolingual,2,English,0,75,t2,water,water.t2,agua,616,632,641,225.06,249.9278846,3.352298315,3.397814713,5,4,7,6,2,3,7,6
156,Eng_01,Monolingual,2,English,0,76,t2,winter,winter.t2,invierno,499,621,615,26.22,23.96634615,2.418632687,2.379601828,6,8,7,1,3,4,2,4
157,Eng_01,Monolingual,2,English,0,77,t2,wisdom,wisdom.t2,sabidura,275,381,510,11.08,11.94,2.04453976,2.077004327,6,9,1,1,7,6,5,2
158,Eng_01,Monolingual,2,English,0,78,t2,wolf,wolf.t2,lobo,595,610,537,20.27,23.89423077,2.306853749,2.378293054,4,4,6,1,1,1,4,6
159,Eng_01,Monolingual,2,English,0,79,t2,woman,woman.t2,mujer,580,626,623,434.63,526.2740385,3.6381197,3.721211946,5,5,2,6,5,3,5,2
160,Eng_01,Monolingual,2,English,0,80,t2,wood,wood.t2,madera,606,577,574,27,27.30769231,2.431363764,2.436285001,4,6,6,2,2,1,2,2
1,Eng_02,Monolingual,1,English,0,1,t1,advantage,advantage.t1,ventaja,282,292,562,22.06,28.10096154,2.343605508,2.448721181,9,7,2,1,7,7,4,7
2,Eng_02,Monolingual,1,English,0,2,t1,advice,advice.t1,consejo,291,352,566,47.98,77.23557692,2.681060244,2.887817395,6,7,1,6,6,4,5,6
3,Eng_02,Monolingual,1,English,0,3,t1,appointment,appointment.t1,cita,341,386,541,30.57,149.1346154,2.485295439,3.173578459,11,4,1,1,5,1,1,2
4,Eng_02,Monolingual,1,English,0,4,t1,arrangement,arrangement.t1,arreglo,308,316,525,9.45,20,1.975431809,2.301029996,11,7,1,2,3,1,1,3
5,Eng_02,Monolingual,1,English,0,5,t1,beauty,beauty.t1,belleza,336,513,561,48.24,43.46153846,2.683407299,2.638105095,6,7,7,1,5,7,6,4
6,Eng_02,Monolingual,1,English,0,6,t1,bed,bed.t1,cama,635,635,636,187.12,178.1730769,3.272120209,3.25084208,3,4,2,2,2,1,6,2
